,0
http://www.quiklabs.com/focuses/2794?parent=catalog,A Tour of Google Cloud Hands-on Labs
http://www.quiklabs.com/focuses/3563?parent=catalog,Creating a Virtual Machine
http://www.quiklabs.com/focuses/560?parent=catalog,Compute Engine: Qwik Start - Windows
http://www.quiklabs.com/focuses/563?parent=catalog,Getting Started with Cloud Shell and gcloud
http://www.quiklabs.com/focuses/878?parent=catalog,Kubernetes Engine: Qwik Start
http://www.quiklabs.com/focuses/12007?parent=catalog,Set Up Network and HTTP Load Balancers
http://www.quiklabs.com/focuses/557?parent=catalog,Orchestrating the Cloud with Kubernetes
http://www.quiklabs.com/focuses/552?parent=catalog,Continuous Delivery Pipelines with Spinnaker and Kubernetes Engine
http://www.quiklabs.com/focuses/1230?parent=catalog,Multiple VPC Networks
http://www.quiklabs.com/focuses/20104?parent=catalog,Troubleshooting Workloads on GKE for Site Reliability Engineers
http://www.quiklabs.com/focuses/4415?parent=catalog,Creating a Data Transformation Pipeline with Cloud Dataprep
http://www.quiklabs.com/focuses/605?parent=catalog,Building an IoT Analytics Pipeline on Google Cloud
http://www.quiklabs.com/focuses/3460?parent=catalog,ETL Processing on Google Cloud Using Dataflow and BigQuery
http://www.quiklabs.com/focuses/1794?parent=catalog,Predict Visitor Purchases with a Classification Model in BQML
http://www.quiklabs.com/focuses/3528?parent=catalog,Cloud Composer: Copying BigQuery Tables Across Different Locations
http://www.quiklabs.com/focuses/3339?parent=catalog,Deploying a Python Flask Web Application to App Engine Flexible
http://www.quiklabs.com/focuses/3340?parent=catalog,Deploy Node.js Express Application in App Engine
http://www.quiklabs.com/focuses/2789?parent=catalog,Deploy a Ruby on Rails App to App Engine Flexible Environment
http://www.quiklabs.com/focuses/3342?parent=catalog,Deploy an ASP.NET Core App to App Engine
http://www.quiklabs.com/focuses/663?parent=catalog,Deploy ASP.NET Core App to Kubernetes Engine
http://www.quiklabs.com/focuses/660?parent=catalog,Firebase Web
http://www.quiklabs.com/focuses/615?parent=catalog,Deploying Memcached on Kubernetes Engine
http://www.quiklabs.com/focuses/560?parent=catalog,Compute Engine: Qwik Start - Windows
http://www.quiklabs.com/focuses/3347?parent=catalog,Deploy Microsoft SQL Server to Compute Engine
http://www.quiklabs.com/focuses/3348?parent=catalog,Running Windows Containers on Compute Engine
http://www.quiklabs.com/focuses/666?parent=catalog,Install and Use Cloud Tools for PowerShell
http://www.quiklabs.com/focuses/662?parent=catalog,Configuring and Deploying Windows SQL Server on Google Cloud
http://www.quiklabs.com/focuses/1817?parent=catalog,Deploying a Fault-Tolerant Microsoft Active Directory Environment
http://www.quiklabs.com/focuses/18518?parent=catalog,Managed Service for Microsoft Active Directory
http://www.quiklabs.com/focuses/2802?parent=catalog,Introduction to SQL for BigQuery and Cloud SQL
http://www.quiklabs.com/focuses/1846?parent=catalog,Rent-a-VM to Process Earthquake Data
http://www.quiklabs.com/focuses/609?parent=catalog,Weather Data in BigQuery
http://www.quiklabs.com/focuses/5834?parent=catalog,Distributed Image Processing in Cloud Dataproc
http://www.quiklabs.com/focuses/604?parent=catalog,Analyzing Natality Data Using AI Platform and BigQuery
http://www.quiklabs.com/focuses/607?parent=catalog,Predict Baby Weight with TensorFlow on AI Platform
http://www.quiklabs.com/focuses/1029?parent=catalog,Introduction to Docker
http://www.quiklabs.com/focuses/878?parent=catalog,Kubernetes Engine: Qwik Start
http://www.quiklabs.com/focuses/557?parent=catalog,Orchestrating the Cloud with Kubernetes
http://www.quiklabs.com/focuses/639?parent=catalog,Managing Deployments Using Kubernetes Engine
http://www.quiklabs.com/focuses/1104?parent=catalog,Continuous Delivery with Jenkins in Kubernetes Engine
http://www.quiklabs.com/focuses/5562?parent=catalog,User Authentication: Identity-Aware Proxy
http://www.quiklabs.com/focuses/1230?parent=catalog,Multiple VPC Networks
http://www.quiklabs.com/focuses/1231?parent=catalog,VPC Networks - Controlling Access
http://www.quiklabs.com/focuses/1232?parent=catalog,HTTP Load Balancer with Cloud Armor
http://www.quiklabs.com/focuses/1250?parent=catalog,Create an Internal Load Balancer
http://www.quiklabs.com/focuses/14864?parent=catalog,Google Cloud Packet Mirroring with OpenSource IDS
http://www.quiklabs.com/focuses/3473?parent=catalog,Introduction to APIs in Google
http://www.quiklabs.com/focuses/1836?parent=catalog,"Extract, Analyze, and Translate Text from Images with the Cloud ML APIs"
http://www.quiklabs.com/focuses/1749?parent=catalog,Classify Text into Categories with the Natural Language API
http://www.quiklabs.com/focuses/1841?parent=catalog,"Detect Labels, Faces, and Landmarks in Images with the Cloud Vision API"
http://www.quiklabs.com/focuses/1843?parent=catalog,Entity and Sentiment Analysis with the Natural Language API
http://www.quiklabs.com/focuses/1241?parent=catalog,Awwvision: Cloud Vision API from a Kubernetes Cluster
http://www.quiklabs.com/focuses/1760?parent=catalog,Cloud Storage: Qwik Start - Cloud Console
http://www.quiklabs.com/focuses/569?parent=catalog,Cloud Storage: Qwik Start - CLI/SDK 
http://www.quiklabs.com/focuses/551?parent=catalog,Cloud IAM: Qwik Start
http://www.quiklabs.com/focuses/10599?parent=catalog,Cloud Monitoring: Qwik Start
http://www.quiklabs.com/focuses/1763?parent=catalog,Cloud Functions: Qwik Start - Console
http://www.quiklabs.com/focuses/916?parent=catalog,Cloud Functions: Qwik Start - Command Line
http://www.quiklabs.com/focuses/3719?parent=catalog,Google Cloud Pub/Sub: Qwik Start - Console
http://www.quiklabs.com/focuses/925?parent=catalog,Google Cloud Pub/Sub: Qwik Start - Command Line
http://www.quiklabs.com/focuses/2775?parent=catalog,Google Cloud Pub/Sub: Qwik Start - Python
http://www.quiklabs.com/focuses/15940?parent=catalog,Pub/Sub Lite: Qwik Start
http://www.quiklabs.com/focuses/581?parent=catalog,AI Platform: Qwik Start
http://www.quiklabs.com/focuses/18940?parent=catalog,Vertex AI: Qwik Start
http://www.quiklabs.com/focuses/584?parent=catalog,Dataprep: Qwik Start
http://www.quiklabs.com/focuses/1101?parent=catalog,Dataflow: Qwik Start - Templates
http://www.quiklabs.com/focuses/1100?parent=catalog,Dataflow: Qwik Start - Python
http://www.quiklabs.com/focuses/586?parent=catalog,Dataproc: Qwik Start - Console
http://www.quiklabs.com/focuses/585?parent=catalog,Dataproc: Qwik Start - Command Line
http://www.quiklabs.com/focuses/582?parent=catalog,Cloud Natural Language API: Qwik Start
http://www.quiklabs.com/focuses/588?parent=catalog,Google Cloud Speech API: Qwik Start
http://www.quiklabs.com/focuses/603?parent=catalog,Video Intelligence: Qwik Start
http://www.quiklabs.com/focuses/10285?parent=catalog,Reinforcement Learning: Qwik Start
http://www.quiklabs.com/focuses/10599?parent=catalog,Cloud Monitoring: Qwik Start
http://www.quiklabs.com/focuses/621?parent=catalog,Monitoring Multiple Projects with Cloud Monitoring
http://www.quiklabs.com/focuses/1833?parent=catalog,Monitoring and Logging for Cloud Functions
http://www.quiklabs.com/focuses/1259?parent=catalog,Reporting Application Metrics into Cloud Monitoring
http://www.quiklabs.com/focuses/611?parent=catalog,Autoscaling an Instance Group with Custom Cloud Monitoring Metrics
http://www.quiklabs.com/focuses/611?parent=catalog,Autoscaling an Instance Group with Custom Cloud Monitoring Metrics
http://www.quiklabs.com/focuses/1776?parent=catalog,Setting up Jenkins on Kubernetes Engine
http://www.quiklabs.com/focuses/552?parent=catalog,Continuous Delivery Pipelines with Spinnaker and Kubernetes Engine
http://www.quiklabs.com/focuses/1817?parent=catalog,Deploying a Fault-Tolerant Microsoft Active Directory Environment
http://www.quiklabs.com/focuses/615?parent=catalog,Deploying Memcached on Kubernetes Engine
http://www.quiklabs.com/focuses/617?parent=catalog,Running Dedicated Game Servers in Google Kubernetes Engine
http://www.quiklabs.com/focuses/967?parent=catalog,Distributed Load Testing Using Kubernetes
http://www.quiklabs.com/focuses/986?parent=catalog,Google Cloud SDK: Qwik Start - Redhat/Centos
http://www.quiklabs.com/focuses/1014?parent=catalog,App Engine: Qwik Start - Python
http://www.quiklabs.com/focuses/2754?parent=catalog,App Engine: Qwik Start - Go
http://www.quiklabs.com/focuses/951?parent=catalog,App Engine: Qwik Start - Java
http://www.quiklabs.com/focuses/2755?parent=catalog,App Engine: Qwik Start - PHP
http://www.quiklabs.com/focuses/954?parent=catalog,App Engine: Qwik Start - Ruby
http://www.quiklabs.com/focuses/1002?parent=catalog,Cloud Source Repositories: Qwik Start
