,0,link
0,Google Cloud Essentials ,https://www.qwiklabs.com/quests/23
1,Cloud Architecture ,https://www.qwiklabs.com/quests/24
2,Data Engineering ,https://www.qwiklabs.com/quests/25
3,Deploying Applications ,https://www.qwiklabs.com/quests/26
4,Windows on Google Cloud ,https://www.qwiklabs.com/quests/27
5,Scientific Data Processing ,https://www.qwiklabs.com/quests/28
6,Kubernetes in Google Cloud ,https://www.qwiklabs.com/quests/29
7,Qwiklabs,https://www.qwiklabs.com/quests/30
8,Networking in Google Cloud  ,https://www.qwiklabs.com/quests/31
9,Machine Learning APIs ,https://www.qwiklabs.com/quests/32
10,Baseline: Infrastructure ,https://www.qwiklabs.com/quests/33
11,"Baseline: Data, ML, AI ",https://www.qwiklabs.com/quests/34
12,Google Cloud&#39;s Operations Suite ,https://www.qwiklabs.com/quests/35
13,Google Cloud Solutions I: Scaling Your Infrastructure ,https://www.qwiklabs.com/quests/36
14,Baseline: Deploy &amp; Develop ,https://www.qwiklabs.com/quests/37
15,Google Cloud Solutions II: Data and Machine Learning ,https://www.qwiklabs.com/quests/38
16,Websites and Web Applications ,https://www.qwiklabs.com/quests/39
17,Security &amp; Identity Fundamentals ,https://www.qwiklabs.com/quests/40
18,Application Development - Python ,https://www.qwiklabs.com/quests/41
19,Application Development - Java ,https://www.qwiklabs.com/quests/42
20,Data Science on Google Cloud ,https://www.qwiklabs.com/quests/43
21,Managing Cloud Infrastructure with Terraform ,https://www.qwiklabs.com/quests/44
22,Kubernetes Solutions ,https://www.qwiklabs.com/quests/45
23,Network Performance and Optimization ,https://www.qwiklabs.com/quests/46
24,Qwiklabs,https://www.qwiklabs.com/quests/47
25,Developing Data and Machine Learning Apps with C# ,https://www.qwiklabs.com/quests/48
26,IoT in the Google Cloud ,https://www.qwiklabs.com/quests/49
27,Data Science on Google Cloud: Machine Learning ,https://www.qwiklabs.com/quests/50
28,Workspace: Integrations ,https://www.qwiklabs.com/quests/51
29,Cloud SQL ,https://www.qwiklabs.com/quests/52
30,Qwiklabs,https://www.qwiklabs.com/quests/53
31,Exploring APIs ,https://www.qwiklabs.com/quests/54
32,Qwiklabs,https://www.qwiklabs.com/quests/55
33,Qwiklabs,https://www.qwiklabs.com/quests/56
34,Qwiklabs,https://www.qwiklabs.com/quests/57
